epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,169.938,0.40028,0.77846,0.47539,0.91669,0.96222,0.99524,0.99378,0.96266,0.94308,0.97619,0.96374,0.76875,0.3542,0.89774,0.3917,0.89495,0.0004258,0.0004258,0.0004258
31,175.426,0.3813,0.72487,0.48924,0.92304,0.96187,0.9978,0.99446,0.96262,0.94932,0.98292,0.97501,0.67528,0.34818,0.913,0.40293,0.88189,0.000406,0.000406,0.000406
32,180.678,0.39068,0.78573,0.46066,0.93612,0.96212,0.99524,0.99347,0.96961,0.95244,0.98571,0.97476,0.73232,0.32876,0.82916,0.35343,0.86415,0.0003862,0.0003862,0.0003862
33,185.96,0.3733,0.84021,0.47245,0.90735,0.96094,0.98974,0.99445,0.96678,0.96094,0.98974,0.99445,0.76225,0.36215,0.84225,0.38035,0.87521,0.0003664,0.0003664,0.0003664
34,191.218,0.37545,0.74207,0.46232,0.91724,0.97702,0.99771,0.995,0.97376,0.97206,0.99319,0.98753,0.76524,0.35218,0.82776,0.33919,0.87239,0.0003466,0.0003466,0.0003466
35,197.087,0.35909,0.73632,0.45039,0.91095,0.97566,0.98545,0.995,0.97387,0.9629,0.96991,0.97755,0.77287,0.29879,0.7868,0.35643,0.86102,0.0003268,0.0003268,0.0003268
36,203.01,0.37377,0.70508,0.45446,0.92573,0.97405,0.9965,0.99407,0.97483,0.97405,0.9965,0.99407,0.7534,0.30189,0.91558,0.36028,0.85877,0.000307,0.000307,0.000307
37,208.274,0.34954,0.71473,0.42505,0.91168,0.97721,1,0.995,0.97237,0.96837,0.99018,0.98587,0.75483,0.27896,0.90638,0.30658,0.84457,0.0002872,0.0002872,0.0002872
38,213.547,0.34703,0.63196,0.4167,0.91138,0.97669,1,0.995,0.97696,0.97197,0.99524,0.99111,0.79184,0.25956,0.82976,0.30307,0.83794,0.0002674,0.0002674,0.0002674
39,219.604,0.33596,0.7141,0.43707,0.88911,0.9793,1,0.995,0.97342,0.97455,0.99524,0.98998,0.81562,0.26624,0.81611,0.30128,0.85063,0.0002476,0.0002476,0.0002476
40,225.16,0.34425,0.8034,0.43106,0.91869,0.98019,1,0.995,0.97288,0.9753,0.99524,0.99014,0.80119,0.26852,0.7956,0.30125,0.84628,0.0002278,0.0002278,0.0002278
41,231.226,0.33293,0.6161,0.3959,0.92437,0.98258,1,0.995,0.97323,0.97846,0.99524,0.99184,0.79183,0.29894,0.73791,0.30853,0.84502,0.000208,0.000208,0.000208
42,236.523,0.32043,0.52921,0.36973,0.90079,0.97893,1,0.995,0.9697,0.97588,0.99524,0.99181,0.81519,0.33677,0.71385,0.32042,0.85667,0.0001882,0.0001882,0.0001882
43,241.846,0.31094,0.54514,0.35214,0.91334,0.97357,1,0.995,0.9723,0.97174,0.99524,0.99156,0.80824,0.28428,0.71707,0.28532,0.83917,0.0001684,0.0001684,0.0001684
44,247.148,0.33184,0.54443,0.37941,0.92862,0.97618,1,0.995,0.97792,0.97276,0.99524,0.99185,0.79947,0.25451,0.68886,0.27919,0.82717,0.0001486,0.0001486,0.0001486
45,252.357,0.31926,0.51906,0.34792,0.93314,0.97863,1,0.995,0.97742,0.97388,0.99524,0.9916,0.79632,0.25528,0.68084,0.27707,0.82239,0.0001288,0.0001288,0.0001288
46,257.615,0.28823,0.49411,0.31497,0.88714,0.97939,1,0.995,0.97839,0.97464,0.99524,0.99119,0.79883,0.24297,0.67695,0.26481,0.82181,0.000109,0.000109,0.000109
47,263.246,0.30124,0.49329,0.31831,0.89985,0.98176,1,0.995,0.97953,0.977,0.99524,0.99127,0.80777,0.23106,0.67481,0.24544,0.81781,8.92e-05,8.92e-05,8.92e-05
48,268.432,0.29825,0.49215,0.31601,0.86228,0.98261,1,0.995,0.97984,0.97785,0.99524,0.99057,0.80014,0.22845,0.67348,0.23414,0.81224,6.94e-05,6.94e-05,6.94e-05
49,273.62,0.27723,0.48272,0.33934,0.89931,0.98261,1,0.995,0.98177,0.97786,0.99524,0.99097,0.80568,0.23488,0.67111,0.23616,0.80182,4.96e-05,4.96e-05,4.96e-05
50,278.508,0.30094,0.46102,0.31893,0.90162,0.98235,1,0.995,0.98237,0.97759,0.99524,0.99068,0.81365,0.23518,0.66731,0.2377,0.79882,2.98e-05,2.98e-05,2.98e-05
